abbreviation	title	shorttitle
AA	Amino Acids	Amino Acids
AACT	Antimicrobial Agents and Chemotherapy	Antimicrob. Agents Chemother.
ABC-	Analytical and Bioanalytical Chemistry	Anal. Bioanal. Chem.
AC	Analytical Chemistry	Anal. Chem.
ACA	Aldrichimica Acta	Aldrichimica Acta
ACH	Annali di Chimica	Ann. Chim.
ACQ	Actualite Chimique	Actual. Chim.
AC-C	Acta Crystallographica Section C: Crystal Structure Communications	Acta Crystallogr., Sect. C: Cryst. Struct. Commun.
ACIS-	Advances in Colloid and Interface Science	Adv. Colloid Interfac.
ACR	Accounts of Chemical Research	Acc. Chem. Res.
ACS	Acta Chemica Scandinavica	Acta Chem. Scand.
ACSC	ACS Catalysis	ACS Catal.
ACSAMI	ACS Applied Materials & Interfaces	ACS Appl. Mater. Interfaces
ACSEL	ACS Energy Letters	ACS Energy Lett.
ACSN	ACS Nano	ACS Nano
ACSO	ACS Omega	ACS Omega
ACSSCE	ACS Sustainable Chemistry & Engineering	ACS Sustainable Chem. Eng.
ACSSS	American Chemical Society Symposium Series	ACS Symp. Ser.
ADVP	Advances in Pharmacolohy	Adv. Pharm.
AEM	Advanced Energy Materials	Adv. Energy Mater.
AFM	Advanced Functional Materials	Adv. Func. Mater.
AITE	Archivum Immunologiae et Therapia Experimentalis	Arch. Immun. Therap. Exper.
AJC	Australian Journal of Chemistry	Aust. J. Chem.
AJOC	Asian Journal of Organic Chemistry	Asian J. Org. Chem.
AM	Advanced Materials	Adv. Mater.
AMR	Advanced Materials Research	Adv. Mater. Res.
AN	Angewandte Chemie	Angew. Chem.
ANIE	Angewandte Chemie International Edition	Angew. Chem. Int. Ed.
ANYAS	Annals of the New York Academy of Sciences	Ann. N. Y. Acad. Sci.
AOMC	Advances in Organometallic Chemistry	Adv. Organomet. Chem.
AP	Archiv der Pharmazie	Arch. Pharm.
ARKIVOC	Arkivoc	Arkivoc
AS	Anaesthesist	Anaesthesist
ASC-	Advanced Synthesis & Catalysis	Adv. Synth. Catal.
ASCI	Applied Sciences	Appl. Sci.
ASS-	Applied Surface Science	Appl. Surf. Sci.
BC	Bioorganic Chemistry	Bioorg. Chem.
BCC	Bulgarian Chemistry Communications	Bulgar. Chem. Commun.
BCJC	Bioconjugate Chemistry	Bioconjugate Chem.
BCP	Biochemical Pharmacology	Biochem. Pharm.
BCSJ	Bulletin of the Chemical Society of Japan	Bull. Chem. Soc. Jpn.
BCY	Biochemistry	Biochemistry
BDCG-B-A	Berichte der Deutschen Chemischen Gesselschaft, B: Abhandlungen	Ber. Deutsch. Chem. Ges. B: Abhand.
BIRM	BioInorganic Reaction Mechanisms	BioInorg. React. Mech.
BJOC	Beilstein Journal of Organic Chemistry	Beilstein J. Org. Chem.
BKCS	Bulletin of the Korean Chemical Society	Bull. Korean Chem. Soc.
BMC	Bioorganic & Medicinal Chemistry	Bioorg. Med. Chem.
BMCL	Bioorganic & Medicinal Chemistry Letters	Bioorg. Med. Chem. Lett.
BONE	Bone	Bone
BSCF	Bulletin de la Societe Chimique de France	Bull. Soc. Chim. Fr.
BTJ	Biotechnology Journal	BTJ
BTL	Biotechnology Letter	Biotechnol. Lett.
C	Carbon	Carbon
CAJ	Chemistry - An Asian Journal	Chem. Asian J.
CAT	Catalysts	Catalysts
CB	Chemische Berichte	Chem. Ber.
CHB	Chemistry & Biology	Chem. Biol.
CBC	ChemBioChem	ChemBioChem
CC	Chemical Communications	Chem. Commun.
CCADD	Current Computer-Aided Drug Design	Curr. Comput. Aided Drug Des.
CCCC	Collection of Czechoslovak Chemical Communications	Collect. Czech. Chem. Commun.
CCR	Coordination Chemistry Reviews	Coord. Chem. Rev.
CDDT	Current Drug Discovery Technologies	Curr. Drug Discovery Technol.
CEC	CrystEngComm	CrystEngComm
CEJ	Chemistry — A European Journal	Chem. Eur. J.
CENJ-	Chemical Engineering Journal	Chem. Eng. J.
CET	Chemical Engineering and Technology	Chem. Eng. Technol.
CGD	Crystal Growth & Design	Cryst. Growth Des.
CH	Chimia	Chimia
CHC	Chemistry of Heterocyclic Compounds	Chem. Heterocycl. Compd.
CJC	Canadian Journal of Chemistry	Can. J. Chem.
CJOC	Chinese Journal of Organic Chemistry	Chinese J. Org. Chem.
CL	Chemistry Letters	Chem. Lett.
CM	Chemistry of Materials	Chem. Mater.
CMDC	ChemMedChem	ChemMedChem
CMC	Current Medicinal Chemistry	Curr. Med. Chem.
CMCACA	Current Medicinal Chemistry Anti-Cancer Agents	Curr. Med. Chem. Anti-Cancer Agents
CMMI	Contrast Media & Molecular Imaging	Contrast Media Mol. Imaging
CNC	Chemistry of Natural Compounds	Chem. Nat. Compd.
CO	Clinical Oncology	Clin. Oncol.
COC	Current Organic Chemistry	Curr. Org. Chem.
COCB	Current Opinion in Chemical Biology	Curr. Opin. Chem. Biol.
COCIS	Current Opinion in Colloid and Interface Science	Curr. Opin. Colloid Interface Sci.
CP	Chemical Physics	Chem. Phys.
CPE	Chemical and Process Engineering	Chem. Process Eng.
CPB	Chemical & Pharmaceutical Bulletin	Chem. Pharm. Bull.
CPL-	Chemical Physics Letters	Chem. Phys. Lett
CR	Carbohydrate Research	Carbohydr. Res.
CRC	Comptes Rendus Chimie	C. R. Chim.
